OpenCL platform                = AMD Accelerated Parallel Processing
OpenCL platform vendor         = Advanced Micro Devices, Inc.
OpenCL device type             = GPU
Input file                     = /tmp/input
Output grid size               = (200,40,40)
Output grid patch size         = (1,1,1)
Model                          = grid=(200,40,40):(199,39,39),order=(7,7,7),output=blitz,surface,acf.shape=(10,10,10)
Velocity potential solver name = N4arma8velocity21High_amplitude_solverIdEE
Velocity potential solver      = wnmax=from (0,0) to (0,0.25) npoints (2,2),depth=12,domain=from (10,-12) to (10,3) npoints (1,128)
ACF variance                   = 1
prfl deteremine_coefficients 17495us
prfl validate 127247us
White noise variance           = 0.000519022
Partition size                 = (14,8,8)
Reuse OpenCL kernel /home/igankevich/.cache/arma/382804e53b854e56-2de16c0eb665b941-6de7ef775a6c294f-a0ffe59648af6d90
finished [1/375] in 0us
finished [2/375] in 55545us
finished [3/375] in 55543us
finished [4/375] in 54929us
finished [5/375] in 54930us
finished [6/375] in 57260us
finished [7/375] in 87553us
finished [8/375] in 88409us
finished [9/375] in 88409us
finished [10/375] in 87429us
finished [11/375] in 56648us
finished [12/375] in 88408us
finished [13/375] in 88409us
finished [14/375] in 87429us
finished [15/375] in 87430us
finished [16/375] in 57260us
finished [17/375] in 88409us
finished [18/375] in 87429us
finished [19/375] in 87582us
finished [20/375] in 88409us
finished [21/375] in 57260us
finished [22/375] in 97668us
finished [23/375] in 88833us
finished [24/375] in 89646us
finished [25/375] in 89671us
finished [26/375] in 46566us
finished [27/375] in 76111us
finished [28/375] in 70864us
finished [29/375] in 70589us
finished [30/375] in 69810us
finished [31/375] in 72067us
finished [32/375] in 112572us
finished [33/375] in 112580us
finished [34/375] in 118138us
finished [35/375] in 112684us
finished [36/375] in 72792us
finished [37/375] in 112423us
finished [38/375] in 111178us
finished [39/375] in 111178us
finished [40/375] in 112423us
finished [41/375] in 72866us
finished [42/375] in 111178us
finished [43/375] in 111177us
finished [44/375] in 112471us
finished [45/375] in 112423us
finished [46/375] in 71987us
finished [47/375] in 111178us
finished [48/375] in 112423us
finished [49/375] in 112423us
finished [50/375] in 111177us
finished [51/375] in 45425us
finished [52/375] in 70588us
finished [53/375] in 70589us
finished [54/375] in 69809us
finished [55/375] in 69809us
finished [56/375] in 72767us
finished [57/375] in 112469us
finished [58/375] in 111178us
finished [59/375] in 111178us
finished [60/375] in 112423us
finished [61/375] in 72767us
finished [62/375] in 111294us
finished [63/375] in 111178us
finished [64/375] in 112423us
finished [65/375] in 112424us
finished [66/375] in 71988us
finished [67/375] in 111178us
finished [68/375] in 112423us
finished [69/375] in 112423us
finished [70/375] in 111178us
finished [71/375] in 71988us
finished [72/375] in 112583us
finished [73/375] in 112424us
finished [74/375] in 111178us
finished [75/375] in 111177us
finished [76/375] in 45812us
finished [77/375] in 70589us
finished [78/375] in 69810us
finished [79/375] in 69810us
finished [80/375] in 70589us
finished [81/375] in 72767us
finished [82/375] in 111178us
finished [83/375] in 111316us
finished [84/375] in 112424us
finished [85/375] in 112423us
finished [86/375] in 71988us
finished [87/375] in 111178us
finished [88/375] in 112423us
finished [89/375] in 112423us
finished [90/375] in 111177us
finished [91/375] in 71987us
finished [92/375] in 112423us
finished [93/375] in 112573us
finished [94/375] in 111178us
finished [95/375] in 111178us
finished [96/375] in 72767us
finished [97/375] in 112423us
finished [98/375] in 111178us
finished [99/375] in 111179us
finished [100/375] in 112422us
finished [101/375] in 45813us
finished [102/375] in 69809us
finished [103/375] in 69810us
finished [104/375] in 70721us
finished [105/375] in 70590us
finished [106/375] in 71988us
finished [107/375] in 111178us
finished [108/375] in 112423us
finished [109/375] in 112469us
finished [110/375] in 111177us
finished [111/375] in 71987us
finished [112/375] in 112422us
finished [113/375] in 112423us
finished [114/375] in 111296us
finished [115/375] in 111178us
finished [116/375] in 72767us
finished [117/375] in 112423us
finished [118/375] in 111178us
finished [119/375] in 111178us
finished [120/375] in 112423us
finished [121/375] in 72767us
finished [122/375] in 111226us
finished [123/375] in 111178us
finished [124/375] in 112549us
finished [125/375] in 112423us
finished [126/375] in 45324us
finished [127/375] in 69810us
finished [128/375] in 70589us
finished [129/375] in 70589us
finished [130/375] in 69809us
finished [131/375] in 71987us
finished [132/375] in 112422us
finished [133/375] in 112423us
finished [134/375] in 111178us
finished [135/375] in 111327us
finished [136/375] in 72768us
finished [137/375] in 112423us
finished [138/375] in 111178us
finished [139/375] in 111178us
finished [140/375] in 112423us
finished [141/375] in 72767us
finished [142/375] in 111178us
finished [143/375] in 111178us
finished [144/375] in 112422us
finished [145/375] in 112580us
finished [146/375] in 71988us
finished [147/375] in 111177us
finished [148/375] in 112423us
finished [149/375] in 112423us
finished [150/375] in 111178us
finished [151/375] in 45324us
finished [152/375] in 70588us
finished [153/375] in 70589us
finished [154/375] in 69809us
finished [155/375] in 69809us
finished [156/375] in 72880us
