OpenCL platform                = AMD Accelerated Parallel Processing
OpenCL platform vendor         = Advanced Micro Devices, Inc.
OpenCL device type             = GPU
Input file                     = /tmp/input
Output grid size               = (1000,40,40)
Output grid patch size         = (1,1,1)
Model                          = grid=(1000,40,40):(999,39,39),order=(7,7,7),output=blitz,surface,acf.shape=(10,10,10)
Velocity potential solver name = N4arma8velocity21High_amplitude_solverIdEE
Velocity potential solver      = wnmax=from (0,0) to (0,0.25) npoints (2,2),depth=12,domain=from (10,-12) to (10,3) npoints (1,128)
ACF variance                   = 1
prfl deteremine_coefficients 17339us
prfl validate 93513us
White noise variance           = 0.000519022
Partition size                 = (43,8,8)
Reuse OpenCL kernel /home/igankevich/.cache/arma/382804e53b854e56-2de16c0eb665b941-6de7ef775a6c294f-a0ffe59648af6d90
finished [1/600] in 0us
finished [2/600] in 199630us
finished [3/600] in 201695us
finished [4/600] in 201694us
finished [5/600] in 199466us
finished [6/600] in 205716us
finished [7/600] in 317770us
finished [8/600] in 317622us
finished [9/600] in 321181us
finished [10/600] in 321382us
finished [11/600] in 205717us
finished [12/600] in 317622us
finished [13/600] in 321304us
finished [14/600] in 321182us
finished [15/600] in 317623us
finished [16/600] in 205716us
finished [17/600] in 321334us
finished [18/600] in 321181us
finished [19/600] in 317623us
finished [20/600] in 317766us
finished [21/600] in 207945us
finished [22/600] in 321181us
finished [23/600] in 317793us
finished [24/600] in 317623us
finished [25/600] in 321182us
finished [26/600] in 140665us
finished [27/600] in 214453us
finished [28/600] in 214345us
finished [29/600] in 216740us
finished [30/600] in 216740us
finished [31/600] in 221057us
finished [32/600] in 341521us
finished [33/600] in 345197us
finished [34/600] in 345196us
finished [35/600] in 341525us
finished [36/600] in 221056us
finished [37/600] in 345196us
finished [38/600] in 345337us
finished [39/600] in 341372us
finished [40/600] in 341420us
finished [41/600] in 223555us
finished [42/600] in 345197us
finished [43/600] in 341371us
finished [44/600] in 341517us
finished [45/600] in 345244us
finished [46/600] in 223450us
finished [47/600] in 341499us
finished [48/600] in 341371us
finished [49/600] in 345197us
finished [50/600] in 345335us
finished [51/600] in 139165us
finished [52/600] in 214345us
finished [53/600] in 216740us
finished [54/600] in 216739us
finished [55/600] in 214476us
finished [56/600] in 221057us
finished [57/600] in 345197us
finished [58/600] in 345243us
finished [59/600] in 341500us
finished [60/600] in 341370us
finished [61/600] in 223452us
finished [62/600] in 345346us
finished [63/600] in 341372us
finished [64/600] in 341370us
finished [65/600] in 345342us
finished [66/600] in 223451us
finished [67/600] in 341370us
finished [68/600] in 341545us
finished [69/600] in 345197us
finished [70/600] in 345196us
finished [71/600] in 221170us
finished [72/600] in 341372us
finished [73/600] in 345196us
finished [74/600] in 345369us
finished [75/600] in 341372us
finished [76/600] in 139164us
finished [77/600] in 216739us
finished [78/600] in 216866us
finished [79/600] in 214346us
finished [80/600] in 214345us
finished [81/600] in 223451us
finished [82/600] in 345350us
finished [83/600] in 341373us
finished [84/600] in 341370us
finished [85/600] in 345346us
finished [86/600] in 223452us
finished [87/600] in 341371us
finished [88/600] in 341370us
finished [89/600] in 345341us
finished [90/600] in 345197us
finished [91/600] in 221081us
finished [92/600] in 341490us
finished [93/600] in 345196us
finished [94/600] in 345196us
finished [95/600] in 341512us
finished [96/600] in 221056us
finished [97/600] in 345196us
finished [98/600] in 345347us
finished [99/600] in 341372us
finished [100/600] in 341370us
finished [101/600] in 140665us
finished [102/600] in 216855us
finished [103/600] in 214346us
finished [104/600] in 214344us
finished [105/600] in 216740us
finished [106/600] in 223584us
finished [107/600] in 341372us
finished [108/600] in 341370us
finished [109/600] in 345377us
finished [110/600] in 345197us
finished [111/600] in 221057us
finished [112/600] in 341371us
finished [113/600] in 345337us
finished [114/600] in 345196us
finished [115/600] in 341524us
finished [116/600] in 221057us
finished [117/600] in 345197us
finished [118/600] in 345196us
finished [119/600] in 341524us
finished [120/600] in 341371us
finished [121/600] in 223451us
finished [122/600] in 345340us
finished [123/600] in 341372us
finished [124/600] in 341419us
finished [125/600] in 345314us
finished [126/600] in 140666us
finished [127/600] in 214346us
finished [128/600] in 214346us
finished [129/600] in 216889us
finished [130/600] in 216741us
finished [131/600] in 221057us
finished [132/600] in 341370us
finished [133/600] in 345342us
finished [134/600] in 345197us
finished [135/600] in 341371us
finished [136/600] in 221170us
finished [137/600] in 345197us
finished [138/600] in 345195us
finished [139/600] in 341524us
finished [140/600] in 341372us
finished [141/600] in 223451us
finished [142/600] in 345244us
finished [143/600] in 341496us
finished [144/600] in 341371us
finished [145/600] in 345356us
finished [146/600] in 223452us
finished [147/600] in 341371us
finished [148/600] in 341370us
finished [149/600] in 345343us
finished [150/600] in 345197us
finished [151/600] in 139165us
finished [152/600] in 214344us
finished [153/600] in 216852us
finished [154/600] in 216740us
finished [155/600] in 214345us
finished [156/600] in 221055us
finished [157/600] in 345335us
finished [158/600] in 345196us
finished [159/600] in 341419us
finished [160/600] in 341495us
finished [161/600] in 223452us
finished [162/600] in 345195us
finished [163/600] in 341541us
finished [164/600] in 341371us
finished [165/600] in 345195us
finished [166/600] in 223570us
finished [167/600] in 341372us
finished [168/600] in 341370us
finished [169/600] in 345342us
finished [170/600] in 345197us
finished [171/600] in 221057us
finished [172/600] in 341371us
finished [173/600] in 345346us
finished [174/600] in 345195us
finished [175/600] in 341419us
finished [176/600] in 139251us
finished [177/600] in 216741us
finished [178/600] in 216739us
finished [179/600] in 214345us
finished [180/600] in 214345us
finished [181/600] in 223565us
finished [182/600] in 345196us
finished [183/600] in 341370us
finished [184/600] in 341521us
finished [185/600] in 345197us
finished [186/600] in 223451us
finished [187/600] in 341522us
finished [188/600] in 341371us
finished [189/600] in 345196us
finished [190/600] in 345340us
finished [191/600] in 221058us
finished [192/600] in 341422us
finished [193/600] in 345325us
finished [194/600] in 345197us
finished [195/600] in 341371us
finished [196/600] in 221159us
finished [197/600] in 345198us
finished [198/600] in 345195us
finished [199/600] in 341525us
finished [200/600] in 341372us
finished [201/600] in 140666us
finished [202/600] in 216739us
finished [203/600] in 214345us
finished [204/600] in 214479us
finished [205/600] in 216740us
finished [206/600] in 223451us
finished [207/600] in 341371us
finished [208/600] in 341520us
finished [209/600] in 345197us
finished [210/600] in 345242us
finished [211/600] in 221160us
finished [212/600] in 341371us
finished [213/600] in 345196us
finished [214/600] in 345346us
finished [215/600] in 341372us
finished [216/600] in 221055us
finished [217/600] in 345351us
finished [218/600] in 345197us
finished [219/600] in 341372us
finished [220/600] in 341522us
finished [221/600] in 223452us
finished [222/600] in 345197us
finished [223/600] in 341522us
finished [224/600] in 341371us
finished [225/600] in 345243us
finished [226/600] in 140665us
finished [227/600] in 214453us
finished [228/600] in 214345us
finished [229/600] in 216739us
finished [230/600] in 216739us
finished [231/600] in 221056us
finished [232/600] in 341525us
finished [233/600] in 345197us
finished [234/600] in 345349us
finished [235/600] in 341372us
finished [236/600] in 221056us
finished [237/600] in 345196us
finished [238/600] in 345367us
finished [239/600] in 341371us
finished [240/600] in 341370us
finished [241/600] in 223586us
finished [242/600] in 345196us
finished [243/600] in 341418us
finished [244/600] in 341494us
finished [245/600] in 345197us
finished [246/600] in 223452us
finished [247/600] in 341527us
finished [248/600] in 341420us
finished [249/600] in 345197us
finished [250/600] in 345318us
finished [251/600] in 139165us
finished [252/600] in 214345us
finished [253/600] in 216740us
finished [254/600] in 216739us
finished [255/600] in 214464us
finished [256/600] in 221057us
finished [257/600] in 345196us
finished [258/600] in 345351us
finished [259/600] in 341373us
finished [260/600] in 341421us
finished [261/600] in 223452us
finished [262/600] in 345317us
finished [263/600] in 341372us
finished [264/600] in 341370us
finished [265/600] in 345337us
finished [266/600] in 223452us
finished [267/600] in 341371us
finished [268/600] in 341523us
finished [269/600] in 345197us
finished [270/600] in 345196us
finished [271/600] in 221176us
finished [272/600] in 341371us
finished [273/600] in 345196us
finished [274/600] in 345347us
finished [275/600] in 341372us
finished [276/600] in 139164us
finished [277/600] in 216769us
finished [278/600] in 216842us
finished [279/600] in 214346us
finished [280/600] in 214345us
finished [281/600] in 223451us
finished [282/600] in 345348us
finished [283/600] in 341373us
finished [284/600] in 341370us
finished [285/600] in 345345us
finished [286/600] in 223452us
finished [287/600] in 341371us
finished [288/600] in 341525us
finished [289/600] in 345197us
finished [290/600] in 345196us
finished [291/600] in 221056us
finished [292/600] in 341516us
finished [293/600] in 345197us
finished [294/600] in 345242us
finished [295/600] in 341497us
finished [296/600] in 221056us
finished [297/600] in 345196us
finished [298/600] in 345356us
finished [299/600] in 341372us
finished [300/600] in 341370us
finished [301/600] in 140769us
finished [302/600] in 216740us
finished [303/600] in 214345us
finished [304/600] in 214344us
finished [305/600] in 216740us
finished [306/600] in 223562us
finished [307/600] in 341372us
finished [308/600] in 341371us
finished [309/600] in 345349us
finished [310/600] in 345197us
finished [311/600] in 221057us
finished [312/600] in 341528us
finished [313/600] in 345198us
finished [314/600] in 345195us
finished [315/600] in 341548us
finished [316/600] in 221057us
finished [317/600] in 345196us
finished [318/600] in 345348us
finished [319/600] in 341372us
finished [320/600] in 341370us
finished [321/600] in 223452us
finished [322/600] in 345341us
finished [323/600] in 341371us
finished [324/600] in 341370us
finished [325/600] in 345344us
finished [326/600] in 140665us
finished [327/600] in 214345us
finished [328/600] in 214373us
finished [329/600] in 216844us
finished [330/600] in 216740us
finished [331/600] in 221057us
finished [332/600] in 341371us
finished [333/600] in 345349us
finished [334/600] in 345196us
finished [335/600] in 341371us
finished [336/600] in 221167us
finished [337/600] in 345197us
finished [338/600] in 345195us
finished [339/600] in 341526us
finished [340/600] in 341371us
finished [341/600] in 223451us
finished [342/600] in 345340us
finished [343/600] in 341372us
finished [344/600] in 341419us
finished [345/600] in 345314us
finished [346/600] in 223452us
finished [347/600] in 341371us
finished [348/600] in 341371us
finished [349/600] in 345328us
finished [350/600] in 345196us
finished [351/600] in 139165us
finished [352/600] in 214479us
finished [353/600] in 216741us
finished [354/600] in 216739us
finished [355/600] in 214345us
finished [356/600] in 221056us
finished [357/600] in 345344us
finished [358/600] in 345197us
finished [359/600] in 341371us
finished [360/600] in 341523us
finished [361/600] in 223452us
finished [362/600] in 345242us
finished [363/600] in 341497us
finished [364/600] in 341372us
finished [365/600] in 345196us
finished [366/600] in 223572us
finished [367/600] in 341371us
finished [368/600] in 341370us
finished [369/600] in 345359us
finished [370/600] in 345197us
finished [371/600] in 221056us
finished [372/600] in 341515us
finished [373/600] in 345196us
finished [374/600] in 345196us
finished [375/600] in 341513us
finished [376/600] in 139164us
finished [377/600] in 216740us
finished [378/600] in 216739us
finished [379/600] in 214376us
finished [380/600] in 214448us
finished [381/600] in 223452us
finished [382/600] in 345196us
finished [383/600] in 341371us
finished [384/600] in 341543us
finished [385/600] in 345197us
finished [386/600] in 223451us
finished [387/600] in 341520us
finished [388/600] in 341371us
finished [389/600] in 345196us
finished [390/600] in 345350us
finished [391/600] in 221057us
finished [392/600] in 341370us
finished [393/600] in 345347us
finished [394/600] in 345197us
finished [395/600] in 341423us
finished [396/600] in 221156us
finished [397/600] in 345198us
finished [398/600] in 345197us
finished [399/600] in 341520us
finished [400/600] in 341372us
finished [401/600] in 140666us
finished [402/600] in 216739us
finished [403/600] in 214469us
finished [404/600] in 214346us
finished [405/600] in 216740us
finished [406/600] in 223450us
finished [407/600] in 341522us
finished [408/600] in 341371us
finished [409/600] in 345196us
finished [410/600] in 345346us
finished [411/600] in 221057us
finished [412/600] in 341370us
finished [413/600] in 345245us
finished [414/600] in 345320us
finished [415/600] in 341371us
finished [416/600] in 221056us
finished [417/600] in 345348us
finished [418/600] in 345196us
finished [419/600] in 341372us
finished [420/600] in 341539us
finished [421/600] in 223452us
finished [422/600] in 345196us
finished [423/600] in 341519us
finished [424/600] in 341371us
finished [425/600] in 345196us
finished [426/600] in 140665us
finished [427/600] in 214462us
finished [428/600] in 214346us
finished [429/600] in 216740us
finished [430/600] in 216770us
finished [431/600] in 221158us
finished [432/600] in 341371us
finished [433/600] in 345197us
finished [434/600] in 345343us
finished [435/600] in 341372us
finished [436/600] in 221056us
finished [437/600] in 345348us
finished [438/600] in 345197us
finished [439/600] in 341371us
finished [440/600] in 341518us
finished [441/600] in 223453us
finished [442/600] in 345196us
finished [443/600] in 341370us
finished [444/600] in 341525us
finished [445/600] in 345197us
finished [446/600] in 223476us
finished [447/600] in 341494us
finished [448/600] in 341371us
finished [449/600] in 345197us
finished [450/600] in 345397us
finished [451/600] in 139166us
finished [452/600] in 214345us
finished [453/600] in 216741us
finished [454/600] in 216848us
finished [455/600] in 214346us
finished [456/600] in 221055us
finished [457/600] in 345197us
finished [458/600] in 345353us
finished [459/600] in 341372us
finished [460/600] in 341371us
finished [461/600] in 223568us
finished [462/600] in 345197us
finished [463/600] in 341423us
finished [464/600] in 341498us
finished [465/600] in 345197us
finished [466/600] in 223451us
finished [467/600] in 341371us
finished [468/600] in 341518us
finished [469/600] in 345197us
finished [470/600] in 345351us
finished [471/600] in 221058us
finished [472/600] in 341370us
finished [473/600] in 345197us
finished [474/600] in 345352us
finished [475/600] in 341371us
finished [476/600] in 139164us
finished [477/600] in 216739us
finished [478/600] in 216868us
finished [479/600] in 214346us
finished [480/600] in 214344us
finished [481/600] in 223477us
finished [482/600] in 345319us
finished [483/600] in 341372us
finished [484/600] in 341371us
finished [485/600] in 345344us
finished [486/600] in 223452us
finished [487/600] in 341372us
finished [488/600] in 341529us
finished [489/600] in 345197us
finished [490/600] in 345197us
finished [491/600] in 221180us
finished [492/600] in 341372us
finished [493/600] in 345196us
finished [494/600] in 345339us
finished [495/600] in 341373us
finished [496/600] in 221056us
finished [497/600] in 345242us
finished [498/600] in 345319us
finished [499/600] in 341371us
finished [500/600] in 341370us
finished [501/600] in 140753us
finished [502/600] in 216739us
finished [503/600] in 214346us
finished [504/600] in 214344us
finished [505/600] in 216871us
finished [506/600] in 223452us
finished [507/600] in 341371us
finished [508/600] in 341370us
finished [509/600] in 345337us
finished [510/600] in 345196us
finished [511/600] in 221057us
finished [512/600] in 341516us
finished [513/600] in 345197us
finished [514/600] in 345245us
finished [515/600] in 341494us
finished [516/600] in 221056us
finished [517/600] in 345196us
finished [518/600] in 345345us
finished [519/600] in 341373us
finished [520/600] in 341371us
finished [521/600] in 223569us
finished [522/600] in 345196us
finished [523/600] in 341371us
finished [524/600] in 341521us
finished [525/600] in 345197us
finished [526/600] in 140665us
finished [527/600] in 214345us
finished [528/600] in 214345us
finished [529/600] in 216863us
finished [530/600] in 216739us
finished [531/600] in 221056us
finished [532/600] in 341417us
finished [533/600] in 345315us
finished [534/600] in 345196us
finished [535/600] in 341371us
finished [536/600] in 221172us
finished [537/600] in 345196us
finished [538/600] in 345196us
finished [539/600] in 341515us
finished [540/600] in 341371us
finished [541/600] in 223452us
finished [542/600] in 345353us
finished [543/600] in 341373us
finished [544/600] in 341370us
finished [545/600] in 345349us
finished [546/600] in 223452us
finished [547/600] in 341419us
finished [548/600] in 341485us
finished [549/600] in 345198us
finished [550/600] in 345196us
finished [551/600] in 139165us
finished [552/600] in 214466us
finished [553/600] in 216741us
finished [554/600] in 216739us
finished [555/600] in 214345us
finished [556/600] in 221055us
finished [557/600] in 345340us
finished [558/600] in 345196us
finished [559/600] in 341514us
finished [560/600] in 341372us
finished [561/600] in 223452us
finished [562/600] in 345195us
finished [563/600] in 341519us
finished [564/600] in 341370us
finished [565/600] in 345245us
finished [566/600] in 223552us
finished [567/600] in 341371us
finished [568/600] in 341370us
finished [569/600] in 345338us
finished [570/600] in 345197us
finished [571/600] in 221057us
finished [572/600] in 341526us
finished [573/600] in 345197us
finished [574/600] in 345196us
finished [575/600] in 341516us
finished [576/600] in 35616us
finished [577/600] in 55470us
finished [578/600] in 55470us
finished [579/600] in 54857us
finished [580/600] in 54857us
finished [581/600] in 57179us
finished [582/600] in 88343us
finished [583/600] in 87365us
finished [584/600] in 87365us
finished [585/600] in 88342us
finished [586/600] in 57179us
finished [587/600] in 87364us
finished [588/600] in 87509us
finished [589/600] in 88343us
finished [590/600] in 88343us
finished [591/600] in 56567us
finished [592/600] in 87364us
finished [593/600] in 88343us
finished [594/600] in 88343us
finished [595/600] in 87365us
finished [596/600] in 56566us
finished [597/600] in 88392us
finished [598/600] in 88342us
finished [599/600] in 87365us
finished [600/600] in 87485us
prfl generate_surface 171489406us
prfl nit = 0us
prfl window_function = 25369us
prfl second_function = 132us
prfl fft = 15465us
prfl dev_to_host_copy = 0us
